Country,Category,Year,value
Czech Republic,Clothing and footwear,1997,8.251999999999999
Czech Republic,"Housing, Water, Electricity, Gas and Other Fuels",1997,12.576
Czech Republic,"Furnishings, household equipment and routine household maintenance",1997,7.951000000000001
Czech Republic,Health,1997,1.0630000000000002
Czech Republic,Transport,1997,10.845999999999998
Czech Republic,Communication,1997,1.9269999999999998
Czech Republic,Recreation and culture,1997,11.848
Czech Republic,Education,1997,0.213
Czech Republic,Restaurants and hotels,1997,6.889000000000001
Czech Republic,Miscellaneous goods and services,1997,5.689
Denmark,Food and non-alcoholic beverages,1997,17.308826911730883
Denmark,"Alcoholic Beverages, Tobacco, and Narcotics",1997,5.938940610593893
Denmark,Clothing and footwear,1997,6.108938910610894
Denmark,"Housing, Water, Electricity, Gas and Other Fuels",1997,19.549804501954977
Denmark,"Furnishings, household equipment and routine household maintenance",1997,6.564934350656493
Denmark,Health,1997,0.7339926600733993
Denmark,Transport,1997,17.93082069179308
Denmark,Communication,1997,2.2979770202297973
Denmark,Recreation and culture,1997,9.94190058099419
Denmark,Education,1997,0.3339966600333996
Denmark,Restaurants and hotels,1997,6.710932890671092
Denmark,Miscellaneous goods and services,1997,6.578934210657892
Estonia,Food and non-alcoholic beverages,1997,35.547000000000004
Estonia,"Alcoholic Beverages, Tobacco, and Narcotics",1997,6.331
Estonia,Clothing and footwear,1997,7.898000000000001
Estonia,"Housing, Water, Electricity, Gas and Other Fuels",1997,21.617
Estonia,"Furnishings, household equipment and routine household maintenance",1997,6.172
Estonia,Health,1997,1.343
Estonia,Transport,1997,6.595999999999999
Estonia,Communication,1997,2.137
Estonia,Recreation and culture,1997,5.474
Estonia,Education,1997,0.15300000000000002
Estonia,Restaurants and hotels,1997,3.227
Estonia,Miscellaneous goods and services,1997,3.505
Finland,Food and non-alcoholic beverages,1997,18.785
Finland,"Alcoholic Beverages, Tobacco, and Narcotics",1997,7.802
Finland,Clothing and footwear,1997,5.761
Finland,"Housing, Water, Electricity, Gas and Other Fuels",1997,16.997999999999998
Finland,"Furnishings, household equipment and routine household maintenance",1997,5.682
Finland,Health,1997,1.592
Finland,Transport,1997,16.506
Finland,Communication,1997,2.63
Finland,Recreation and culture,1997,12.159
Finland,Education,1997,0.186
Finland,Restaurants and hotels,1997,8.086
Finland,Miscellaneous goods and services,1997,3.8130000000000006
France,Food and non-alcoholic beverages,1997,19.29961400771985
France,"Alcoholic Beverages, Tobacco, and Narcotics",1997,4.582908341833164
France,Clothing and footwear,1997,7.280854382912344
France,"Housing, Water, Electricity, Gas and Other Fuels",1997,13.944721105577889
France,"Furnishings, household equipment and routine household maintenance",1997,7.5028499430011415
France,Health,1997,0.47999040019199624
France,Transport,1997,18.878622427551452
France,Communication,1997,2.0099598008039847
France,Recreation and culture,1997,8.90682186356273
France,Education,1997,0.3679926401471972
France,Restaurants and hotels,1997,9.217815643687128
France,Miscellaneous goods and services,1997,7.527849443011142
Germany,Food and non-alcoholic beverages,1997,15.096000000000002
Germany,"Alcoholic Beverages, Tobacco, and Narcotics",1997,4.936
Germany,Clothing and footwear,1997,8.037
Germany,"Housing, Water, Electricity, Gas and Other Fuels",1997,21.514
Germany,"Furnishings, household equipment and routine household maintenance",1997,8.232
Germany,Health,1997,0.361
Germany,Transport,1997,15.761
Germany,Communication,1997,2.563
Germany,Recreation and culture,1997,12.089
Germany,Education,1997,0.23900000000000002
Germany,Restaurants and hotels,1997,5.364999999999999
Germany,Miscellaneous goods and services,1997,5.807
Greece,Food and non-alcoholic beverages,1997,22.994
Greece,"Alcoholic Beverages, Tobacco, and Narcotics",1997,3.8200000000000003
Greece,Clothing and footwear,1997,12.686
Greece,"Housing, Water, Electricity, Gas and Other Fuels",1997,13.596
Greece,"Furnishings, household equipment and routine household maintenance",1997,9.056000000000001
Greece,Health,1997,1.149
Greece,Transport,1997,12.290999999999999
Greece,Communication,1997,2.3329999999999997
Greece,Recreation and culture,1997,5.012
Greece,Education,1997,1.3869999999999998
Greece,Restaurants and hotels,1997,9.176
Greece,Miscellaneous goods and services,1997,6.5
Hungary,Food and non-alcoholic beverages,1997,26.290000000000003
Hungary,"Alcoholic Beverages, Tobacco, and Narcotics",1997,6.807
Hungary,Clothing and footwear,1997,6.833
Hungary,"Housing, Water, Electricity, Gas and Other Fuels",1997,15.707
Hungary,"Furnishings, household equipment and routine household maintenance",1997,6.5
Hungary,Health,1997,1.8500000000000003
Hungary,Transport,1997,12.192000000000002
Hungary,Communication,1997,2.607
Hungary,Recreation and culture,1997,8.779000000000002
Hungary,Education,1997,0.5230000000000001
Hungary,Restaurants and hotels,1997,7.6240000000000006
